Código da Receita;Descrição Receita;Valor (R$);Quantidade;Ano;Última Atualização Relatório
9999;A classificar;4.755,2;53;1996;30/11/2023 19:01
9999;A classificar;97.610,9;144;1997;30/11/2023 19:01
9999;A classificar;184.841,8;271;1998;30/11/2023 19:01
9999;A classificar;45.816,8;218;1999;30/11/2023 19:01
9999;A classificar;154.251,1;205;2000;30/11/2023 19:01
9999;A classificar;891.317,2;184;2001;30/11/2023 19:01
9999;A classificar;354.090,2;1542;2002;30/11/2023 19:01
9999;A classificar;503.622,8;577;2003;30/11/2023 19:01
9999;A classificar;1.539.904;959;2004;30/11/2023 19:01
9999;A classificar;2.176,5;25;2005;30/11/2023 19:01
9999;A classificar;1.074,4;12;2006;30/11/2023 19:01
9999;A classificar;51,1;1;2008;30/11/2023 19:01
1126;Alienação de bem apreendido;2.686,2;3;1998;30/11/2023 19:01
1126;Alienação de bem apreendido;2.164,9;2;1999;30/11/2023 19:01
1126;Alienação de bem apreendido;4.703,3;4;2000;30/11/2023 19:01
1126;Alienação de bem apreendido;5.061;10;2001;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;2.983,9;10;1997;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;10.750,3;67;1998;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;15.725,3;52;1999;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;18.244,3;40;2000;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;7.589,3;18;2001;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;323,1;1;2002;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;1.121,9;7;2004;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;662,3;2;2005;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;13.380,4;15;2006;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;110,5;1;2007;30/11/2023 19:01
4128;Alienação de bem apreendido - Flora;441,9;4;2008;30/11/2023 19:01
1146;Alienação de bem imóvel;484,9;3;1997;30/11/2023 19:01
1146;Alienação de bem imóvel;261,1;1;1999;30/11/2023 19:01
1776;Atualização monetária;784;4;1998;30/11/2023 19:01
6037;Autorização p/competição de pesca amadora;250;1;1999;30/11/2023 19:01
6037;Autorização p/competição de pesca amadora;750;3;2002;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;107;1;1998;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;37.005,1;169;2001;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;165.996,9;709;2002;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;61.772,1;314;2003;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;23.879,3;80;2004;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;18.523,2;81;2005;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;26.888,2;128;2006;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;5.324;24;2007;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;9.924;27;2008;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;4.817,7;22;2009;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;2.044;5;2010;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;643,4;5;2011;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;1.052,1;2;2014;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;3.481,7;2;2015;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;786,1;6;2016;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;3.301,1;4;2017;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;1.313,2;6;2019;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;1.202,3;13;2020;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;580,2;5;2022;30/11/2023 19:01
4039;Autorização p/consumo de matéria prima florestal;762,6;14;2023;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;125,4;1;1998;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;131,6;1;1999;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;4.093,5;32;2001;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;12.399,7;85;2002;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;363,3;2;2003;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;765,2;3;2004;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;239,9;1;2005;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;6.991,7;26;2007;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;278,9;1;2008;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;2.549,6;8;2009;30/11/2023 19:01
5627;Autorização p/importação, prod. e com. de mercúrio;447,2;1;2011;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;820,1;5;1998;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;50;1;1999;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;52,7;2;2000;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;30.378,8;460;2001;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;8.825;167;2002;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;88,6;7;2003;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;20;2;2004;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;170;9;2005;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;353,8;8;2006;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;19,8;1;2007;30/11/2023 19:01
4078;Autorização p/transporte de produto florestal - ATPF;15,6;1;2009;30/11/2023 19:01
4035;Autorização p/uso do fogo em queimada controlada;851,2;3;1996;30/11/2023 19:01
4035;Autorização p/uso do fogo em queimada controlada;3.879,8;13;1997;30/11/2023 19:01
4035;Autorização p/uso do fogo em queimada controlada;998,5;10;1998;30/11/2023 19:01
4035;Autorização p/uso do fogo em queimada controlada;5.925,8;17;1999;30/11/2023 19:01
4035;Autorização p/uso do fogo em queimada controlada;3.552;11;2000;30/11/2023 19:01
4035;Autorização p/uso do fogo em queimada controlada;364,6;28;2001;30/11/2023 19:01
